1,-1,416.0,423.0,26.0,34.0,0.9974452,1,-1
1,-1,426.0,343.0,19.0,26.0,0.9970601,1,-1
1,-1,525.0,425.0,16.0,26.0,0.99628556,1,-1
1,-1,405.0,271.0,28.0,41.0,0.994179,1,-1
1,-1,461.0,320.0,17.0,20.0,0.9838278,1,-1
1,-1,568.0,447.0,22.0,34.0,0.97686654,1,-1
1,-1,469.0,290.0,13.0,17.0,0.90664357,1,-1
1,-1,466.0,265.0,15.0,14.0,0.864176,1,-1
1,-1,446.0,293.0,14.0,18.0,0.8557827,1,-1
1,-1,428.0,489.0,31.0,47.0,0.7452007,1,-1
2,-1,414.0,427.0,28.0,33.0,0.99947554,1,-1
2,-1,426.0,344.0,19.0,26.0,0.99858165,1,-1
2,-1,524.0,423.0,16.0,27.0,0.99778396,1,-1
2,-1,405.0,272.0,29.0,41.0,0.9923028,1,-1
2,-1,567.0,445.0,22.0,34.0,0.9889131,1,-1
2,-1,461.0,319.0,16.0,20.0,0.96645355,1,-1
2,-1,469.0,291.0,14.0,18.0,0.9169049,1,-1
2,-1,463.0,267.0,18.0,14.0,0.827784,1,-1
2,-1,446.0,294.0,13.0,18.0,0.7606078,1,-1
2,-1,454.0,239.0,15.0,14.0,0.5510318,1,-1
3,-1,413.0,429.0,27.0,35.0,0.99978405,1,-1
3,-1,424.0,345.0,20.0,27.0,0.9988739,1,-1
3,-1,404.0,272.0,31.0,43.0,0.9969386,1,-1
3,-1,522.0,421.0,17.0,28.0,0.99618834,1,-1
3,-1,460.0,320.0,16.0,20.0,0.97608227,1,-1
3,-1,565.0,443.0,23.0,35.0,0.95549816,1,-1
3,-1,467.0,289.0,14.0,19.0,0.9020789,1,-1
3,-1,444.0,294.0,15.0,19.0,0.6861818,1,-1
3,-1,465.0,267.0,16.0,14.0,0.5794914,1,-1
4,-1,410.0,431.0,29.0,35.0,0.99978524,1,-1
4,-1,519.0,420.0,19.0,27.0,0.99939895,1,-1
4,-1,422.0,346.0,19.0,27.0,0.99859506,1,-1
4,-1,459.0,320.0,16.0,22.0,0.9839107,1,-1
4,-1,404.0,273.0,28.0,40.0,0.98010397,1,-1
4,-1,564.0,440.0,22.0,36.0,0.97110456,1,-1
4,-1,467.0,291.0,14.0,19.0,0.9079503,1,-1
