3,1,400.34,202.61,60.33,34.78,1,-1,-1,-1
3,2,130.90,286.03,65.45,38.18,1,-1,-1,-1
3,3,2.30,343.41,144.41,110.81,1,-1,-1,-1
3,4,802.40,22.82,50.54,31.98,1,-1,-1,-1
3,5,312.40,231.06,65.10,38.18,1,-1,-1,-1
3,6,910.38,0.78,42.04,23.00,1,-1,-1,-1
3,7,327.74,258.15,75.33,34.78,1,-1,-1,-1
3,8,240.08,276.88,73.80,39.13,1,-1,-1,-1
3,9,417.07,226.30,63.24,33.94,1,-1,-1,-1
4,1,396.05,206.97,60.69,35.03,1,-1,-1,-1
4,2,127.85,290.44,67.79,39.44,1,-1,-1,-1
4,3,1.48,348.10,144.53,111.12,1,-1,-1,-1
4,4,795.56,23.89,51.74,32.72,1,-1,-1,-1
4,5,314.44,235.07,60.86,35.54,1,-1,-1,-1
4,6,906.48,1.10,42.04,23.00,1,-1,-1,-1
4,7,327.47,262.97,72.50,33.52,1,-1,-1,-1
4,8,237.67,281.75,72.78,38.60,1,-1,-1,-1
4,9,411.87,227.31,68.50,36.96,1,-1,-1,-1
4,10,873.43,23.26,50.64,29.77,1,-1,-1,-1
4,11,527.72,1.52,35.98,28.15,1,-1,-1,-1
5,1,393.09,209.80,61.87,35.82,1,-1,-1,-1
5,2,124.13,294.62,69.78,40.59,1,-1,-1,-1
5,3,0.78,353.18,145.44,111.91,1,-1,-1,-1
5,4,788.60,25.66,51.03,32.23,1,-1,-1,-1
5,5,314.48,238.55,58.48,34.03,1,-1,-1,-1
5,7,321.06,264.43,80.63,37.56,1,-1,-1,-1
5,8,235.19,284.82,72.25,38.32,1,-1,-1,-1
5,9,404.32,226.15,74.89,40.76,1,-1,-1,-1
5,10,865.03,23.11,54.93,32.26,1,-1,-1,-1
5,11,520.62,3.13,40.92,32.25,1,-1,-1,-1
6,1,390.16,212.77,62.09,36.07,1,-1,-1,-1
6,2,122.56,298.72,68.34,39.57,1,-1,-1,-1
6,3,1.75,359.03,144.76,111.44,1,-1,-1,-1
6,4,782.54,26.93,50.77,32.06,1,-1,-1,-1
6,5,315.11,240.94,56.01,32.59,1,-1,-1,-1
6,7,318.45,266.81,82.73,38.54,1,-1,-1,-1
6,8,233.47,289.29,71.87,38.19,1,-1,-1,-1
6,9,403.13,231.07,72.19,39.40,1,-1,-1,-1
6,10,856.65,24.47,53.77,31.65,1,-1,-1,-1
6,11,516.24,6.43,40.92,32.52,1,-1,-1,-1
